,renda_mensal,quantidade_de_cheques_sem_fundo,valor_dos_restritivos,quantidade_de_protestos,valor_dos_protestos,modelo_score_1,modelo_score_2,modelo_score_3,modelo_score_4,id_do_cliente,tipo_de_score,compromentimento_da_renda,response
8591,0.006364726501245269,0,0.0,0.0,0.0,524,659,650,673,222650024,3,25,BOM
4419,0.07806782892107124,0,0.0,0.0,0.0,916,756,920,853,636725824,4,25,BOM
3343,0.04553700458137318,0,0.0,0.0,0.0,629,609,602,727,384504947,3,25,BOM
464,0.003751191464502042,0,0.6137931034482759,0.0,0.0,175,263,235,645,1159922776,1,25,BOM
5200,0.013036927712695628,0,0.0,2.0,1082.0,219,664,547,611,988690254,1,25,BOM
7117,0.0035359591673584864,0,0.0,0.0,0.0,473,658,469,631,434559404,2,25,BOM
23,0.009839190726562738,0,0.0,0.0,0.0,270,635,290,587,1031072130,1,25,BOM
3281,0.0714878701226824,0,0.0,0.0,0.0,807,678,703,708,57994000,4,25,BOM
914,0.0714571226516619,0,0.0,0.0,0.0,353,589,383,728,59820805,2,25,BOM
9542,0.09952956369338621,0,1.7862068965517242,0.0,0.0,167,499,227,568,884927730,1,25,BOM
1598,0.00021523229714355552,0,0.0,0.0,0.0,254,620,283,688,869460781,1,25,MAU
3871,0.0027980198628662772,0,0.0,0.0,0.0,681,649,558,687,1068095378,3,25,BOM
351,0.21501706484641636,0,353.8965517241379,1.0,363.0,222,236,329,784,323976808,1,100,MAU
5206,0.0714878701226824,0,0.0,0.0,0.0,381,585,358,691,358686103,2,25,MAU
16,0.008517049472680872,0,0.0,0.0,0.0,606,626,550,675,537591206,3,25,BOM
1410,0.09537865510561756,0,0.0,0.0,0.0,574,624,533,775,1064441768,3,25,BOM
6644,0.09956031116440674,0,0.0,0.0,0.0,761,687,744,742,1150179816,4,25,BOM
6052,0.04157058081972757,0,0.0,0.0,0.0,583,658,561,753,666929000,3,25,BOM
6921,0.005042585247363403,0,0.0,0.0,0.0,538,627,396,689,761922860,3,25,BOM
2589,0.07536205147126648,0,0.0,0.0,0.0,612,669,624,806,648052015,3,25,BOM
1199,0.007379393044922057,0,2.193103448275862,0.0,0.0,175,261,258,705,135937680,1,25,BOM
5675,0.01260646311840851,0,0.0,0.0,0.0,528,694,498,721,863980366,3,25,BOM
6080,0.009777695784521721,0,1.089655172413793,0.0,0.0,61,250,203,536,874454048,1,25,BOM
343,0.11139808750730253,0,0.0,0.0,0.0,952,697,886,835,1184401963,4,25,MAU
5114,0.07158011253574394,0,0.0,0.0,0.0,764,697,638,830,456724638,4,25,BOM
4629,0.013252160009839191,0,0.6137931034482759,0.0,0.0,108,235,211,594,856429572,1,25,BOM
2072,0.0714878701226824,1,0.0,0.0,0.0,269,493,592,712,109266327,1,25,BOM
357,0.09537865510561756,0,0.0,0.0,0.0,716,650,689,726,94895461,4,25,BOM
1335,0.07536205147126648,0,0.0,0.0,0.0,325,595,360,725,898689661,2,25,BOM
5277,0.1034037450419703,0,188.9655172413793,0.0,0.0,119,254,297,643,727213565,1,100,BOM
3500,0.004673615595117302,0,0.0,0.0,0.0,544,640,444,578,1066633934,3,25,BOM
3007,0.02601236048335024,0,14.924137931034483,0.0,0.0,65,214,243,705,654628513,1,100,MAU
2392,0.0714878701226824,0,0.0,0.0,0.0,748,663,648,817,2824489,4,25,BOM
1811,0.0714571226516619,0,0.0,0.0,0.0,669,663,694,729,924021357,3,25,BOM
9221,0.01196076622697783,0,0.0,0.0,0.0,799,678,704,713,212298129,4,25,BOM
9380,0.1034037450419703,1,7.337931034482758,0.0,0.0,198,252,345,605,951545219,1,50,MAU
376,0.021676967069458535,0,69.29655172413793,0.0,0.0,146,219,266,605,776293726,1,100,MAU
3724,0.0416320757617686,0,0.0,0.0,0.0,613,613,362,808,1216310157,3,25,BOM
125,0.07151861759370291,0,0.0,0.0,0.0,321,601,314,721,976998702,2,25,BOM
3870,0.07536205147126648,0,0.0,0.0,0.0,542,660,471,767,648295589,3,25,BOM
4214,0.003781938935522554,0,0.8620689655172413,0.0,0.0,220,236,297,695,337616952,1,25,BOM
1005,0.0055960397257325545,0,0.0,0.0,0.0,129,561,224,564,1042885469,1,25,BOM
445,0.48550256741383013,0,1.1241379310344828,0.0,0.0,218,306,337,776,553667090,1,25,BOM
90,0.07763736432678411,0,0.0,0.0,0.0,758,675,778,892,577293768,4,25,BOM
7976,0.0714571226516619,0,0.0,0.0,0.0,730,651,779,772,702612591,4,25,BOM
77,0.0696430218614519,0,0.0,0.0,0.0,467,597,723,731,394856842,2,25,BOM
8815,0.07158011253574394,0,0.0,0.0,0.0,543,627,473,815,1071748988,3,25,BOM
4389,0.007471635457983579,0,0.0,0.0,0.0,684,630,621,752,194030079,3,25,BOM
3714,0.026412077606616853,0,0.0,0.0,0.0,714,623,536,713,128386886,4,25,BOM
6446,0.0035052116963379745,0,0.0,0.0,0.0,338,564,126,605,31079073,2,25,BOM
2663,0.07536205147126648,0,0.0,3.0,434.0,137,576,252,627,679473061,1,25,MAU
9118,0.0420010454140147,0,0.0,0.0,0.0,528,634,395,759,29982990,3,25,MAU
2541,0.0714571226516619,0,0.0,0.0,0.0,618,643,548,676,607131583,3,25,MAU
5684,0.07536205147126648,0,0.0,0.0,0.0,575,698,787,713,573640158,3,25,MAU
3329,0.0005534544783691517,0,0.0,3.0,431.0,108,212,274,542,160660441,1,50,BOM
1385,0.1034037450419703,0,0.0,0.0,0.0,394,560,467,689,313503126,2,25,MAU
1138,0.07536205147126648,0,0.0,0.0,0.0,476,611,458,693,238238760,2,25,BOM
9959,0.0714878701226824,0,0.0,0.0,0.0,513,681,535,749,324829317,3,25,BOM
4253,0.0714878701226824,0,0.0,0.0,0.0,547,623,499,719,303029444,3,25,BOM
8926,0.01340589736494173,0,0.0,0.0,0.0,502,664,671,733,876646214,3,25,BOM
4982,0.001691110906127967,0,0.0,0.0,0.0,712,698,809,799,343219154,4,25,BOM
1405,0.07536205147126648,0,0.0,0.0,0.0,598,670,498,645,788472426,3,25,BOM
5006,0.045414014697291144,0,0.0,0.0,0.0,904,716,795,850,1078447273,4,25,BOM
3697,0.07197982965901055,0,4.158620689655172,0.0,0.0,114,260,219,600,518592434,1,50,MAU
976,0.07536205147126648,0,0.0,0.0,0.0,578,674,639,745,1044590487,3,25,BOM
1306,0.15730406174092182,0,0.0,0.0,0.0,680,654,654,853,332136537,3,25,BOM
9967,0.0714571226516619,0,14.248275862068965,0.0,0.0,142,225,188,642,311189173,1,100,MAU
9647,0.0714878701226824,0,0.0,0.0,0.0,275,555,304,721,902708632,1,25,MAU
8722,0.0015373735510254283,0,0.0,0.0,0.0,295,655,347,578,169550892,1,25,BOM
9860,0.09940657380930419,0,0.0,0.0,0.0,683,637,561,740,574370880,3,25,BOM
162,0.17510684746179628,0,357.71724137931034,0.0,0.0,225,249,345,718,663518964,1,100,MAU
968,0.00209082802939458,0,6.220689655172414,0.0,0.0,2,203,227,483,1071505414,1,100,BOM
9596,0.10352673492605234,0,0.0,1.0,1194.0,197,260,203,584,422624278,1,50,MAU
7616,0.09150447375703348,0,0.0,0.0,0.0,379,565,447,641,807836559,2,25,BOM
3753,0.09553239246072011,0,0.0,0.0,0.0,445,619,380,720,752788835,2,25,BOM
8986,0.004243151000830184,0,0.0,0.0,0.0,473,667,360,711,966646807,2,25,BOM
416,0.0714571226516619,0,0.0,0.0,0.0,326,670,518,638,930841429,2,25,BOM
3663,0.10755465362973894,0,0.0,0.0,0.0,665,596,697,779,1028758177,3,25,MAU
8799,0.01131506933554715,0,0.0,0.0,0.0,466,706,509,682,571813353,2,25,BOM
6226,0.07154936506472342,0,0.0,0.0,0.0,730,651,645,786,285613903,4,25,BOM
5681,0.031454662853980256,0,1.606896551724138,0.0,0.0,162,239,258,537,1166621061,1,25,MAU
2212,0.06164867939611966,0,10.23448275862069,0.0,0.0,269,237,282,788,1169300375,1,50,BOM
8052,0.009839190726562738,0,0.0,0.0,0.0,583,675,556,799,1062127815,3,25,BOM
2195,0.09568612981582265,0,0.0,0.0,0.0,696,676,586,675,964454641,3,25,BOM
4529,0.07536205147126648,0,0.0,0.0,0.0,241,539,250,710,1097567832,1,25,MAU
2627,0.04153983334870706,0,0.0,0.0,0.0,642,596,535,625,715034865,3,25,MAU
1333,0.006087999262060696,0,0.0,0.0,0.0,136,560,109,491,391812167,1,25,BOM
7276,0.04153983334870706,0,0.0,0.0,0.0,566,686,636,796,12323875,3,25,MAU
8849,0.0018755957322510244,0,0.0,0.0,0.0,640,674,538,738,819893472,3,25,BOM
5599,0.0696430218614519,0,12.993103448275862,0.0,0.0,293,524,235,702,222041089,1,75,MAU
3537,0.013375149893921225,0,0.0,0.0,0.0,694,635,746,800,1057987057,3,25,BOM
9036,0.002828767333886789,0,0.0,0.0,0.0,774,698,588,704,734764359,4,25,BOM
2453,0.0714571226516619,0,4.9655172413793105,0.0,0.0,73,223,266,640,583748479,1,75,MAU
4823,0.04153983334870706,0,0.3793103448275862,0.0,0.0,220,245,282,756,1125091694,1,25,BOM
3501,0.09965255357746826,0,0.0,0.0,0.0,719,705,804,836,847904482,4,25,BOM
8206,0.01405159425637241,0,0.6551724137931034,0.0,0.0,2,237,86,544,1155782018,1,25,BOM
2712,0.07379393044922054,0,0.0,0.0,0.0,633,650,725,803,1210342594,3,25,BOM
1606,0.10743166374565692,0,0.0,4.0,3020.0,210,251,235,451,411176300,1,100,BOM
6401,0.013621129662085292,0,0.0,0.0,0.0,576,660,625,814,1138853625,3,25,MAU
7173,0.014482058850659535,0,0.0,0.0,0.0,640,686,670,677,250417460,3,25,BOM
2804,0.09162746364111551,0,0.0,0.0,0.0,726,635,630,706,439309097,4,25,MAU
9750,0.008332564646557822,0,8.10344827586207,0.0,0.0,42,206,172,448,1132642488,1,100,BOM
4795,0.04153983334870706,0,0.0,0.0,0.0,807,654,563,754,929014624,4,25,BOM
7417,0.02957906712172924,0,0.0,0.0,0.0,149,267,290,639,285004968,1,25,BOM
9549,0.04157058081972757,0,0.0,0.0,0.0,479,620,448,706,143244900,2,25,BOM
4233,0.009931433139624267,0,5.386206896551724,0.0,0.0,70,236,243,579,989664550,1,75,BOM
1519,0.09156596869907449,0,0.5379310344827586,2.0,308.0,225,233,250,697,841084410,1,25,BOM
1384,0.07342496079697444,0,0.0,0.0,0.0,555,622,513,712,1039719007,3,25,MAU
9186,0.07536205147126648,0,1.5724137931034483,0.0,0.0,2,223,141,677,1031315704,1,50,BOM
5589,0.045414014697291144,0,0.0,0.0,0.0,413,633,347,691,1164063534,2,25,BOM
8191,0.071826092303908,0,0.0,0.0,0.0,860,721,817,856,9400987,4,25,BOM
2736,0.012329735879223931,0,0.0,0.0,0.0,803,666,779,771,971396500,4,25,BOM
4038,0.0714878701226824,0,0.0,0.0,0.0,466,632,329,741,527239311,2,25,BOM
6729,0.0714878701226824,0,0.0,0.0,0.0,507,655,421,777,1043737978,3,25,BOM
7523,0.07536205147126648,0,0.0,0.0,0.0,590,657,525,719,353571049,3,25,MAU
7366,0.003751191464502042,0,0.0,0.0,0.0,473,679,552,696,604452269,2,25,BOM
5685,0.015035513329028687,0,5.931034482758621,0.0,0.0,130,249,219,566,947891609,1,75,MAU
442,0.07151861759370291,0,0.0,0.0,0.0,616,652,619,698,93921165,3,25,BOM
6440,0.01020816037880884,0,16.724137931034484,1.0,1712.0,229,550,282,697,318983541,1,50,MAU
2119,0.08753804999538788,0,10.462068965517242,0.0,0.0,327,249,376,650,1075889746,2,50,BOM
9763,0.07151861759370291,0,0.0,0.0,0.0,525,657,606,754,470486569,3,25,BOM
8287,0.07951296005903515,0,0.0,0.0,0.0,307,638,494,734,340296266,2,25,BOM
9874,0.07954370753005564,0,0.0,0.0,0.0,746,686,834,852,813682335,4,25,BOM
105,0.021307997417212433,0,0.0,0.0,0.0,480,604,389,588,153962156,2,25,BOM
5753,0.09559388740276113,0,0.0,0.0,0.0,858,704,836,942,940706176,4,25,BOM
